9	-6 -57 30 21 12 40 -50 76 24
7	-60 -39 53 -51 46 -80 -66
4	-52 97 100 87
5	58 27 -32 -50 80
9	84 -68 80 6 -93 -92 75 -57 0
5	-35 24 72 -13 47
2	-99 85
2	32 -11
10	34 -69 100 -63 37 61 58 -88 50 -43
10	-30 -85 55 84 -12 70 -35 -41 -31 -91
7	95 -51 63 60 100 -91 -77
9	47 0 -1 -36 -52 -54 -87 -59 -94
7	-31 83 -23 80 -91 75 86
7	37 -72 -72 -94 7 6 81
10	11 -60 -92 99 28 -47 84 -41 -64 -91
3	-4 6 73
8	20 -53 41 84 31 0 35 -83
7	-32 61 54 28 -39 38 2
9	-25 -22 -80 -71 33 -49 9 -52 -49
8	-80 -45 -21 -90 -50 58 60 12
2	45 0
2	20 -4
2	16 -2
8	-43 -88 55 -21 40 26 69 38
10	-61 -29 -5 100 30 -57 -15 -33 55 79
8	-4 -54 68 -60 1 100 71 60
5	-76 0 96 49 -13
9	-64 46 -82 -29 -33 -10 72 76 -62
2	32 47
9	-41 -64 57 -6 23 -13 -52 51 84
9	-42 34 89 83 -6 39 47 -37 100
8	-84 -96 71 8 -59 48 100 18
7	17 42 46 -45 -92 -61 3
9	25 -64 82 69 -78 1 68 -40 -57
8	-62 -10 50 3 63 -66 -79 26
2	-100 9
5	99 -14 57 23 59
9	-23 72 -34 -17 -64 -16 66 -81 89
3	78 3 4
6	-65 -64 76 -7 -16 2
9	-92 41 13 66 -54 -92 -72 65 28
9	10 55 26 -77 -73 53 78 -7 -32
4	-2 86 76 51
2	-58 -7
6	87 -64 58 7 -62 96
7	-32 -40 91 6 -24 -95 68
3	73 -19 89
2	-48 6
3	36 -30 -66
4	35 96 -93 51
5	-5 -8 -17 61 -32
5	-25 16 37 -80 26
8	-15 -98 85 -53 -96 -44 41 -80
2	87 65
4	-74 20 54 72
6	66 -40 -5 26 -9 81
2	-77 16
2	27 56
9	16 26 -40 26 23 -17 -83 18 68
3	26 71 82
4	-79 -43 -59 41
3	-12 12 -5
5	60 91 -98 37 39
8	-9 -11 -100 -52 -70 29 84 48
6	-91 57 77 30 51 -63
8	26 -61 4 23 -87 79 80 -68
3	62 29 31
10	-58 69 47 -27 78 13 65 -65 -51 -12
7	-5 -23 93 14 19 -6 27
4	-91 -88 19 22
10	29 100 -42 53 -69 15 -35 -18 -66 -84
3	-8 -93 -71
9	79 -14 -5 -100 -69 62 92 72 35
7	66 77 87 73 90 -70 -27
8	8 67 -20 14 -36 68 -58 26
9	3 29 34 -75 88 -48 -2 -25 71
9	100 76 66 34 -57 -25 -46 60 34
6	-85 78 20 46 -35 -75
7	-65 78 -25 -83 -84 89 -5
3	-92 27 -68
6	-76 63 -4 30 -35 -85
6	-40 100 -17 47 -34 -84
10	6 -57 47 3 -70 -72 6 -10 93 -83
6	42 66 64 76 -98 -11
9	-97 43 -33 -27 19 -84 68 -31 -81
10	-97 -52 -31 69 93 72 -4 32 47 41
2	-58 45
8	-15 -90 -50 -85 -62 37 -55 -93
4	-47 -44 -48 -65
7	-31 13 -67 92 -62 -83 -53
6	21 -74 -31 -4 -67 -87
9	-77 -56 -51 82 -95 -13 100 88 28
2	11 -74
2	-61 -21
10	-75 -81 -77 70 -75 -76 77 67 -18 -87
10	40 97 82 -77 -47 29 2 -76 36 -12
5	-50 -78 94 73 -25
10	27 38 63 -53 6 64 -72 33 70 41
8	15 -82 -47 21 -49 67 30 65
2	70 45
